Repl    Cont    Site    Dabbed  A663    A646    A470
A       1       a       0.386   0.0908  0.0495  0.1089
A       1       b       0.219   0.1369  0.0825  0.1661
A       1       c       0.249   0.1737  0.0907  0.1813
A       2       a       0.223   0.0685  0.0418  0.0933
A       2       b       0.320   0.2138  0.1216  0.2661
A       2       c       0.390   0.1557  0.0867  0.1887
A       3       a       0.263   0.1688  0.1033  0.2295
A       3       b       0.226   0.0827  0.0478  0.1054
A       3       c       0.198   0.1323  0.0751  0.1631
A       4       a       0.309   0.0981  0.0542  0.1240
A       4       b       0.308   0.1151  0.0609  0.1328
A       4       c       0.429   0.1671  0.0906  0.1763
A       5       a       0.513   0.1289  0.0774  0.1585
A       5       b       0.268   0.1206  0.0670  0.1503
A       5       c       0.343   0.0544  0.0568  0.0597
A       6       a       0.221   0.0781  0.0461  0.1028
A       6       b       0.231   0.0678  0.0396  0.0830
A       6       c       0.196   0.1281  0.0720  0.1618
A       7       a       0.262   0.2865  0.1643  0.3922
A       7       b       0.208   0.2500  0.1425  0.3104
A       7       c       0.262   0.1184  0.0670  0.1504
A       8       a       0.356   0.1618  0.0827  0.1794
A       8       b       0.253   0.0921  0.0548  0.1075
A       8       c       0.276   0.0672  0.0393  0.0881
B       1       a       0.185   0.0926  0.0531  0.1298
B       1       b       0.244   0.2221  0.1310  0.2639
B       1       c       0.324   0.2559  0.1414  0.2917
B       2       a       0.448   0.1406  0.0884  0.1863
B       2       b       0.287   0.1439  0.0874  0.1812
B       2       c       0.282   0.0982  0.0605  0.1414
B       3       a       0.252   0.1449  0.0818  0.1731
B       3       b       0.257   0.1024  0.0687  0.1589
B       3       c       0.211   0.0824  0.0543  0.1210
B       4       a       0.239   0.1179  0.0658  0.1638
B       4       b       0.211   0.1805  0.0983  0.2177
B       4       c       0.310   0.1024  0.0614  0.1378
B       5       a       0.249   0.0985  0.0549  0.1175
B       5       b       0.264   0.0828  0.0477  0.1025
B       5       c       0.237   0.1604  0.0849  0.1793
B       6       a       0.286   0.1303  0.0708  0.1839
B       6       b       0.311   0.0906  0.0554  0.1144
B       6       c       0.322   0.1390  0.0808  0.1696
B       7       a       0.283   0.1340  0.0867  0.2021
B       7       b       0.362   0.1903  0.1118  0.2582
B       7       c       0.334   0.0975  0.0570  0.1328
B       8       a       0.361   0.1181  0.0810  0.1581
B       8       b       0.337   0.1462  0.0800  0.1588
B       8       c       0.260   0.0976  0.0611  0.1313
C       1       a       0.367   0.0851  0.0466  0.1028
C       1       b       0.204   0.2073  0.1126  0.2189
C       1       c       0.262   0.3217  0.1687  0.3376
C       2       a       0.267   0.0844  0.0588  0.1347
C       2       b       0.208   0.1114  0.0651  0.1367
C       2       c       0.267   0.0908  0.0573  0.1206
C       3       a       0.204   0.0727  0.0477  0.1075
C       3       b       0.220   0.1225  0.0714  0.1447
C       3       c       0.221   0.1117  0.0649  0.1482
C       4       a       0.220   0.1437  0.0814  0.1777
C       4       b       0.246   0.1404  0.0802  0.1673
C       4       c       0.249   0.0956  0.0602  0.1318
C       5       a       0.279   0.0721  0.0375  0.0939
C       5       b       0.217   0.1463  0.0832  0.1835
C       5       c       0.181   0.1683  0.0870  0.1919
C       6       a       0.209   0.0350  0.0201  0.0540
C       6       b       0.204   0.0615  0.0371  0.0872
C       6       c       0.223   0.1172  0.0664  0.1491
C       7       a       0.260   0.0812  0.6445  0.1109
C       7       b       0.261   0.1153  0.0634  0.1401
C       7       c       0.204   0.0938  0.0534  0.1136
C       8       a       0.508   0.0695  0.0364  0.0874
C       8       b       0.280   0.1001  0.0539  0.1180
C       8       c       0.255   0.0667  0.0401  0.1165
